Timestamp,"How many hours do you usually sleep per night?
",Do you believe that your sleep affects your academic performance? ,How does your sleep schedule affect your academic performance (grades)?,"If you have not finished studying before an exam, what would you most likely do?
",How would you describe your overall academic performance?,What is the main reason for your lack of sleep?
4/5/2026 23:24,7–8 hours,No,Slight effect,Go to sleep and rest,Very Good,"Studying, Stress Work / responsibilities"
4/5/2026 23:24,7–8 hours,Yes,Slight effect,Go to sleep and rest,Average,"Studying, Stress Work / responsibilities"
4/5/2026 23:25,More than 8 hours,No,Moderate effect,Stay awake and continue studying until the exam,Good,Studying
4/5/2026 23:28,Less than 5 hours,Yes,Moderate effect,Stay awake and continue studying until the exam,Average,"Studying, Stress Work / responsibilities"
4/5/2026 23:28,More than 8 hours,No,Strong effect,Go to sleep and rest,Poor,Social media / phone
4/5/2026 23:28,6–7 hours,Yes,No effect,Go to sleep and rest,Very Good,Stress Work / responsibilities
4/5/2026 23:35,6–7 hours,Yes,Moderate effect,Go to sleep and rest,Good,"Social media / phone, Stress Work / responsibilities"
4/5/2026 23:37,Less than 5 hours,Yes,Slight effect,Stay awake and continue studying until the exam,Good,"Studying, Social media / phone, Stress Work / responsibilities"
4/6/2026 0:25,6–7 hours,Yes,Strong effect,Go to sleep and rest,Excellent,"Studying, Stress Work / responsibilities"
4/6/2026 0:57,6–7 hours,Yes,Moderate effect,Go to sleep and rest,Excellent,Other
4/6/2026 0:59,More than 8 hours,Yes,Strong effect,Go to sleep and rest,Good,Social media / phone
4/6/2026 1:05,5–6 hours,Yes,Strong effect,Stay awake and continue studying until the exam,Average,"Studying, Social media / phone, Stress Work / responsibilities"
4/6/2026 1:07,6–7 hours,Yes,No effect,Go to sleep and rest,Average,"Studying, Stress Work / responsibilities"
4/6/2026 3:24,7–8 hours,Yes,Moderate effect,Stay awake and continue studying until the exam,Good,Stress Work / responsibilities
4/6/2026 3:49,5–6 hours,Yes,Strong effect,Stay awake and continue studying until the exam,Very Good,"Studying, Stress Work / responsibilities"
4/6/2026 6:00,5–6 hours,Yes,Slight effect,Go to sleep and rest,Good,Studying
4/6/2026 6:15,6–7 hours,Yes,Moderate effect,Go to sleep and rest,Average,Studying
4/6/2026 7:17,5–6 hours,Yes,Moderate effect,Go to sleep and rest,Good,Social media / phone
4/6/2026 7:35,More than 8 hours,Yes,Slight effect,Go to sleep and rest,Very Good,"Social media / phone, Stress Work / responsibilities"
4/6/2026 8:41,7–8 hours,Yes,Moderate effect,Stay awake and continue studying until the exam,Good,Stress Work / responsibilities
